nombre,codigoBarras,unidad,precio,costo,iva,stockMinimo,stockMaximo,ubicacion,categoria,generico,descuentoDia,porcentajeDescuento,inicioDescuentoDia,finDescuentoDia,promoCantidadRequerida,inicioPromoCantidad,finPromoCantidad,porcentaje,inicio,fin,descuentoINAPAM,lote1,fechaCaducidad1,cantidad1,lote2,fechaCaducidad2,cantidad2,proveedor,farmacia,imagen
Amikacina 100 mg / 2 mL AMSA C/1 Amp,7.50135E+12,PZA,14,6.76,FALSE,20,5000,,ANTIBIOTICO,TRUE,6,17,31/01/2025,28/12/2025,,,,,,,TRUE,abc13,31/12/2026,0,hgi1,31/12/2027,1,67ca29917616105911bf9573,67d73b3a6348d5c1f9b74313,
Amikacina 100 mg / 2 mL AMSA C/2 Amp,7.50135E+12,PZA,26,11.28,FALSE,20,5000,,ANTIBIOTICO,TRUE,0,13,22/02/2025,24/04/2025,,,,,,,FALSE,abc14,31/12/2026,236,hgi2,31/12/2027,4764,67ca29917616105911bf9573,67d73b3a6348d5c1f9b74313,
Amikacina 500 mg / 2 mL AMSA C/1 Amp,7.50135E+12,PZA,30,13.38,FALSE,20,5000,,ANTIBIOTICO,TRUE,4,10,22/08/2025,28/12/2025,,,,,,,FALSE,abc15,31/12/2026,1004,hgi3,31/12/2027,3996,67ca29917616105911bf9573,67d73b3a6348d5c1f9b74313,
Amikacina 500 mg / 2 mL AMSA C/2 Amp,7.50135E+12,PZA,42,23.68,FALSE,20,5000,,ANTIBIOTICO,TRUE,5,11,02/12/2025,20/12/2025,,,,,,,FALSE,abc16,31/12/2026,1556,hgi4,31/12/2027,3444,67ca29917616105911bf9573,67d73b3a6348d5c1f9b74313,
Amoxicilina 250 mg / 5 mL DIMOPEN C/75 mL,7.50221E+12,PZA,31,22.5,FALSE,20,5000,,ANTIBIOTICO,FALSE,6,12,06/01/2025,09/06/2025,,,,,,,FALSE,abc17,31/12/2026,1180,hgi5,31/12/2027,3820,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Amoxicilina 250 mg VANDIX C/12 Caps,7.503E+12,PZA,32,14.86,FALSE,20,5000,,ANTIBIOTICO,TRUE,5,10,03/08/2025,20/08/2025,,,,,,,FALSE,abc18,31/12/2026,469,hgi6,31/12/2027,4531,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Amoxicilina 500 mg GIMALXINA C/75 ML SUSP,7.80083E+11,PZA,39,34,FALSE,20,5000,,ANTIBIOTICO,FALSE,0,13,25/05/2025,21/08/2025,,,,,,,FALSE,abc19,31/12/2026,387,hgi7,31/12/2027,4613,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Amoxicilina 500 mg DIMOPEN C/75 mL,7.50221E+12,PZA,39,25.81,FALSE,20,5000,,ANTIBIOTICO,TRUE,1,25,26/04/2025,10/11/2025,,,,,,,TRUE,abc20,31/12/2026,1026,hgi8,31/12/2027,3974,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
AMOXICILINA 500 MG VANDIX C/75 ML SUSP,7.503E+12,PZA,39,25.81,FALSE,20,5000,,ANTIBIOTICO,TRUE,2,5,17/03/2025,14/09/2025,,,,,,,TRUE,abc21,31/12/2026,1112,hgi9,31/12/2027,3888,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Amoxicilina 500 mg AMSA C/12 Caps,7.50135E+12,PZA,36,16.86,FALSE,20,5000,,ANTIBIOTICO,TRUE,1,25,12/10/2025,17/11/2025,,,,,,,FALSE,abc22,31/12/2026,1096,hgi10,31/12/2027,3904,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
AMOXICILINA / ACIDO CLAVULANICO   125 MG   31 25 MG / 5 ML  AMSA C/60 ML SUS,7.50135E+12,PZA,36,22,FALSE,20,5000,,ANTIBIOTICO,TRUE,6,13,03/09/2025,12/11/2025,,,,,,,FALSE,abc23,31/12/2026,1312,hgi11,31/12/2027,3688,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Amoxicilina 125 mg / Acido Clavulanico 31.25 mg / 5 mL CLAMOXIN C/60 mL,7.50201E+12,PZA,42,25.33,FALSE,20,5000,,ANTIBIOTICO,TRUE,4,7,25/05/2025,03/07/2025,,,,,,,FALSE,abc24,31/12/2026,1339,hgi12,31/12/2027,3661,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Amoxicilina 125 mg / Acido Clavulanico 31.25 mg / 5 mL CLAVIPEN C/60 mL,7.50221E+12,PZA,42,23.59,FALSE,20,5000,,ANTIBIOTICO,FALSE,0,7,24/06/2025,19/07/2025,,,,,,,FALSE,abc25,31/12/2026,337,hgi13,31/12/2027,4663,67ca29917616105911bf956c,67d73b3a6348d5c1f9b74313,
Amoxicilina 125 mg / Acido Clavulanico 31.25 mg / 5 mL VALCLAN C/60 mL,7.503E+12,PZA,42,21.66,FALSE,20,5000,,ANTIBIOTICO,TRUE,5,19,27/05/2025,07/06/2025,,,,,,,FALSE,abc26,31/12/2026,437,hgi14,31/12/2027,4563,67ca29917616105911bf956e,67d73b3a6348d5c1f9b74313,
Amoxicilina 200 mg / Acido Clavulanico 28.50 mg / 5 mL CLAMOXIN 12 H Pediatrico C/40 mL,7.50201E+12,PZA,33,21.46,FALSE,20,5000,,ANTIBIOTICO,TRUE,2,11,15/07/2025,08/11/2025,,,,,,,FALSE,abc27,31/12/2026,614,hgi15,31/12/2027,4386,67ca29917616105911bf957c,67d73b3a6348d5c1f9b74313,
